1, 10, 0.56975, 0.56975
1, 20, 0.61225, 0.61225
1, 50, 0.64775, 0.64775
1, 100, 0.65775, 0.65775
1, 200, 0.6345, 0.6345
1, 500, 0.6415, 0.6415
1, 1000, 0.6505, 0.6505
1, 2000, 0.64325, 0.64325
1, 5000, 0.65275, 0.65275
2, 10, 0.822, 0.821
2, 20, 0.8615, 0.855
2, 50, 0.88825, 0.8775
2, 100, 0.89675, 0.89225
2, 200, 0.905, 0.89275
2, 500, 0.90575, 0.89525
2, 1000, 0.90425, 0.89375
2, 2000, 0.906, 0.8945
2, 5000, 0.90625, 0.89325
3, 10, 0.86375, 0.87075
3, 20, 0.89875, 0.9005
3, 50, 0.92925, 0.92975
3, 100, 0.949, 0.93975
3, 200, 0.95175, 0.94625
3, 500, 0.95675, 0.94525
3, 1000, 0.958, 0.9475
3, 2000, 0.96, 0.9485
3, 5000, 0.9625, 0.94875
4, 10, 0.8255, 0.88675
4, 20, 0.875, 0.9085
4, 50, 0.91575, 0.94225
4, 100, 0.94, 0.95375
4, 200, 0.94525, 0.95725
4, 500, 0.9575, 0.96025
4, 1000, 0.965, 0.96175
4, 2000, 0.96575, 0.96475
4, 5000, 0.97275, 0.9645
5, 10, 0.722, 0.88525
5, 20, 0.78775, 0.91175
5, 50, 0.867, 0.9405
5, 100, 0.9095, 0.9555
5, 200, 0.92625, 0.95875
5, 500, 0.95125, 0.965
5, 1000, 0.96075, 0.96675
5, 2000, 0.96675, 0.969
5, 5000, 0.97325, 0.97125
6, 10, 0.552, 0.88025
6, 20, 0.65925, 0.91025
6, 50, 0.7845, 0.93825
6, 100, 0.85525, 0.955
6, 200, 0.89125, 0.95925
6, 500, 0.9305, 0.96675
6, 1000, 0.948, 0.96775
6, 2000, 0.96125, 0.969
6, 5000, 0.96975, 0.974
7, 10, 0.38575, 0.87425
7, 20, 0.485, 0.90525
7, 50, 0.64175, 0.9345
7, 100, 0.73975, 0.9525
7, 200, 0.81975, 0.959
7, 500, 0.89425, 0.96675
7, 1000, 0.92575, 0.97
7, 2000, 0.94475, 0.9725
7, 5000, 0.96025, 0.97575
8, 10, 0.29675, 0.87
8, 20, 0.35625, 0.905
8, 50, 0.495, 0.93225
8, 100, 0.5965, 0.95175
8, 200, 0.6885, 0.959
8, 500, 0.7995, 0.968
8, 1000, 0.8595, 0.971
8, 2000, 0.909, 0.97275
8, 5000, 0.94025, 0.977
9, 10, 0.252, 0.869
9, 20, 0.2825, 0.9045
9, 50, 0.37275, 0.93
9, 100, 0.4635, 0.95025
9, 200, 0.56575, 0.9575
9, 500, 0.6865, 0.9665
9, 1000, 0.7735, 0.9715
9, 2000, 0.8365, 0.973
9, 5000, 0.88775, 0.97675
10, 10, 0.23275, 0.8685
10, 20, 0.252, 0.904
10, 50, 0.29775, 0.929
10, 100, 0.35775, 0.95
10, 200, 0.443, 0.9565
10, 500, 0.5625, 0.96625
10, 1000, 0.6525, 0.9705
10, 2000, 0.746, 0.97275
10, 5000, 0.8185, 0.97675
11, 10, 0.224, 0.86975
11, 20, 0.232, 0.9035
11, 50, 0.254, 0.92725
11, 100, 0.296, 0.94975
11, 200, 0.35725, 0.956
11, 500, 0.44725, 0.96575
11, 1000, 0.53, 0.9685
11, 2000, 0.62575, 0.97175
11, 5000, 0.7225, 0.97625
12, 10, 0.215, 0.868
12, 20, 0.21825, 0.90275
12, 50, 0.23475, 0.92725
12, 100, 0.257, 0.94925
12, 200, 0.29025, 0.95525
12, 500, 0.3605, 0.9655
12, 1000, 0.43525, 0.9685
12, 2000, 0.51725, 0.9715
12, 5000, 0.61375, 0.97575
13, 10, 0.21325, 0.86775
13, 20, 0.2145, 0.90275
13, 50, 0.226, 0.9275
13, 100, 0.24, 0.9485
13, 200, 0.26, 0.95425
13, 500, 0.3085, 0.9645
13, 1000, 0.3565, 0.96825
13, 2000, 0.42, 0.9715
13, 5000, 0.51825, 0.97525
14, 10, 0.21225, 0.868
14, 20, 0.2125, 0.90175
14, 50, 0.219, 0.92725
14, 100, 0.2275, 0.949
14, 200, 0.23875, 0.95325
14, 500, 0.2695, 0.965
14, 1000, 0.299, 0.9685
14, 2000, 0.35025, 0.9715
14, 5000, 0.42725, 0.9755
15, 10, 0.2115, 0.86775
15, 20, 0.2115, 0.902
15, 50, 0.21525, 0.927
15, 100, 0.22025, 0.94875
15, 200, 0.22725, 0.9525
15, 500, 0.247, 0.9655
15, 1000, 0.26525, 0.96775
15, 2000, 0.29375, 0.971
15, 5000, 0.35175, 0.9755
